file_name,mol_len,atom_coords,vibrationalfrequence,smiles_basic,smiles_stereo,inchi_basic,inchi_stereo,A,B,C,miu,alpha,homo,lumo,gap,R2,zpve,Uo,U,H,G,Cv
dsgdb9nsd_000011.xyz,7,"C	-0.0029448212	 1.5099136648	 0.0086727849	-0.450261
C	 0.0260828384	 0.0032756259	-0.037459115	 0.172035
O	 0.9422880119	-0.6550703513	-0.4568257611	-0.225955
H	 0.9227880213	 1.926342418	-0.3914655687	 0.14545
H	-0.8620154031	 1.878524808	-0.5647953841	 0.143233
H	-0.1505063787	 1.8439338318	 1.0428910048	 0.143262
H	-0.8944300885	-0.4864340773	 0.3577486492	 0.072236",168.181	501.1212	773.3101	884.1529	1124.8371	1138.5323	1373.2848	1431.5273	1459.9055	1471.282	1841.2906	2861.5286	3029.6122	3089.0262	3150.4048,CC=O,CC=O,"1S/C2H4O/c1-2-3/h2H,1H3","1S/C2H4O/c1-2-3/h2H,1H3",57.22434,10.11122,9.07368,2.5682,25.11,-0.254,-0.0198,0.2342,166.9728,0.055355,-153.787612,-153.783728,-153.782784,-153.812518,11.219
dsgdb9nsd_000012.xyz,6,"N	-0.0258998583	 1.34614561	 0.0088939089	-0.463064
C	 0.0464672751	-0.0117434132	 0.0012042484	 0.169707
O	 1.0718352049	-0.6525878165	-0.0111331282	-0.304836
H	 0.8253549651	 1.8850494841	 0.0037376912	 0.264237
H	-0.9083767959	 1.8267963784	 0.018919919	 0.26171
H	-0.9614410008	-0.4750037629	 0.0080739107	 0.072245",144.7399	563.1718	647.4334	1052.0167	1054.3274	1270.9954	1431.0761	1614.5936	1834.1837	2928.8538	3596.5407	3737.3526,NC=O,NC=O,"1S/CH3NO/c2-1-3/h1H,(H2,2,3)","1S/CH3NO/c2-1-3/h1H,(H2,2,3)",73.8472,11.34793,9.83639,3.7286,21.57,-0.2543,0.0302,0.2845,145.3078,0.045279,-169.860788,-169.856903,-169.855958,-169.885594,10.89
dsgdb9nsd_000013.xyz,11,"C	-0.0311382511	 1.5408158176	 0.0319212557	-0.357354
C	 0.0121534673	 0.0109223512	-0.016032589	-0.143977
C	 0.7216912862	-0.5258335257	-1.2623057014	-0.357354
H	 0.9795598736	 1.9645911645	 0.0309836688	 0.112011
H	-0.558402225	 1.9483119221	-0.8381607489	 0.112009
H	-0.5425225229	 1.9015353142	 0.9300567072	 0.109753
H	 0.5152279134	-0.3684023366	 0.882311343	 0.095569
H	-1.0107064136	-0.3845699872	 0.0205178255	 0.095569
H	 1.7585121046	-0.1737658496	-1.3087151642	 0.112009
H	 0.7408719199	-1.6202495858	-1.2751651128	 0.109753
H	 0.2202335076	-0.1905117949	-2.1772902038	 0.112011",218.9418	268.384	362.1381	750.9108	875.0581	909.6321	929.1072	1061.1879	1177.1909	1216.4499	1317.5778	1368.7204	1403.2941	1421.8225	1489.5601	1489.763	1498.279	1507.9224	1514.825	3022.64	3025.5367	3029.3334	3047.7738	3087.9147	3098.1307	3098.768	3100.85,CCC,CCC,"1S/C3H8/c1-3-2/h3H2,1-2H3","1S/C3H8/c1-3-2/h3H2,1-2H3",29.45018,8.37701,7.42076,0.0597,34.75,-0.323,0.0949,0.4179,227.1361,0.103182,-119.052475,-119.047927,-119.046983,-119.078157,14.84
dsgdb9nsd_000014.xyz,9,"C	-0.0086050396	 1.5020382883	-0.0068121748	-0.354778
C	 0.0109931006	-0.0176487687	-0.013770355	-0.043841
O	 0.6808884095	-0.4404180314	-1.1931320987	-0.415734
H	 1.0115333417	 1.896620303	-0.0192015475	 0.125479
H	-0.5315986204	 1.8807610923	-0.8897465868	 0.125474
H	-0.5167457158	 1.876117708	 0.8871073864	 0.11091
H	 0.5237712083	-0.3891229547	 0.8882408183	 0.083978
H	-1.0202754406	-0.4050726108	 0.0169067033	 0.083978
H	 0.6952957263	-1.4017956761	-1.2014849452	 0.284535",239.0786	287.2696	412.9115	818.2764	903.2068	1032.0372	1117.7113	1183.5417	1277.8157	1295.6633	1400.8915	1461.8149	1482.728	1500.8434	1531.008	2964.0033	2987.7512	3043.467	3118.2502	3119.8888	3829.9632,CCO,CCO,"1S/C2H6O/c1-2-3/h3H,2H2,1H3","1S/C2H6O/c1-2-3/h3H,2H2,1H3",35.09545,9.3686,8.1497,1.4131,27.87,-0.2619,0.0798,0.3417,193.1659,0.079754,-154.972731,-154.968412,-154.967467,-154.998148,13.546
dsgdb9nsd_000015.xyz,9,"C	-0.0148214665	 1.3924123373	 0.0056710438	-0.223408
O	-0.0047153748	-0.0136066049	 0.0145965754	-0.211337
C	 0.6379489343	-0.5532967625	-1.1135823232	-0.223408
H	 1.0052835779	 1.810158071	 0.0046563051	 0.101236
H	-0.5468955976	 1.7934353007	-0.8725105077	 0.101229
H	-0.5300289536	 1.7229196896	 0.9110169641	 0.126612
H	 0.1399379234	-0.2559933348	-2.0509837531	 0.101236
H	 1.6926527455	-0.2386838236	-1.1747774277	 0.101229
H	 0.5995943514	-1.6418016127	-1.0240761566	 0.126612",218.8572	243.9811	414.0405	953.6036	1129.1287	1167.2197	1201.8461	1205.8283	1272.7956	1462.5034	1479.5384	1488.9815	1492.3272	1498.4546	1522.3943	2955.8321	2970.1665	3002.6095	3006.8091	3111.3151	3113.2662,COC,COC,1S/C2H6O/c1-3-2/h1-2H3,1S/C2H6O/c1-3-2/h1-2H3,39.37691,10.04033,8.90353,1.1502,28.13,-0.2525,0.091,0.3435,187.1015,0.079534,-154.960361,-154.956045,-154.9551,-154.985747,12.934
dsgdb9nsd_000016.xyz,9,"C	-0.0119327974	 1.5143319798	 0.010316996	-0.222941
C	 1.3029911772	 0.7788656204	-0.0061784231	-0.222793
C	 0.0086717414	 0.0076704221	 0.0020103247	-0.222925
H	-0.3054146435	 2.0170211723	 0.9253323893	 0.111459
H	-0.3227549828	 2.0268015645	-0.8934783865	 0.111459
H	 1.8849339609	 0.7914501983	-0.9211939346	 0.111429
H	 1.9022663059	 0.7816539079	 0.8976637317	 0.111428
H	-0.2708804319	-0.5128912474	 0.9113747374	 0.111442
H	-0.2882198296	-0.503104088	-0.9074082449	 0.111442",734.3894	735.6651	856.9071	892.9024	893.7059	1060.9412	1062.1157	1089.8202	1157.876	1213.1563	1213.5575	1220.8826	1473.079	1474.3973	1516.2549	3133.3921	3133.7949	3141.564	3209.7308	3210.106	3231.9021,C1CC1,C1CC1,1S/C3H6/c1-2-3-1/h1-3H2,1S/C3H6/c1-2-3-1/h1-3H2,20.15852,20.15302,12.5891,0.0005,30.82,-0.2888,0.1042,0.393,155.8145,0.081231,-117.824798,-117.821426,-117.820482,-117.849087,11.041
dsgdb9nsd_000017.xyz,7,"C	 0.0153771978	 1.4176438003	 0.0095628663	-0.132563
C	 1.2647816122	 0.6492398384	-0.0065504377	-0.132563
O	-0.0002401788	-0.007710059	 0.0020405474	-0.20446
H	-0.3176332635	 1.8858659797	 0.9347575102	 0.117396
H	-0.3352758293	 1.8957667327	-0.9039757823	 0.117397
H	 1.8324668196	 0.5625684765	-0.9319329026	 0.117397
H	 1.8500825819	 0.5526793813	 0.9068014688	 0.117396",813.6295	860.1791	901.9773	1044.498	1154.7267	1155.557	1170.8275	1174.183	1309.554	1506.6794	1542.5323	3081.6408	3089.774	3162.127	3178.8814,C1CO1,C1CO1,1S/C2H4O/c1-2-3-1/h1-2H2,1S/C2H4O/c1-2-3-1/h1-2H2,25.77385,22.12109,14.18066,1.7675,24.04,-0.2682,0.1042,0.3724,129.891,0.057289,-153.742562,-153.73941,-153.738466,-153.766642,9.176
dsgdb9nsd_000018.xyz,10,"C	-0.0031018943	 1.4805032759	-0.1725986671	-0.468686
C	-0.0452720177	-0.0288705905	 0.0013949255	 0.391521
C	 1.2970580043	-0.7219441456	 0.168890419	-0.468685
O	-1.0864317248	-0.6427334329	 0.0063039331	-0.28561
H	 0.5940352949	 1.7466857904	-1.0522504319	 0.136467
H	-1.0154040683	 1.8703402288	-0.2838226498	 0.142771
H	 0.480995996	 1.9507060483	 0.6909937592	 0.136492
H	 1.8251214432	-0.3247073087	 1.0432865792	 0.136469
H	 1.1489250739	-1.7959768947	 0.2855439305	 0.142771
H	 1.9368263527	-0.5294969212	-0.6999540277	 0.136491",61.3307	145.6544	373.6911	490.0151	527.8646	781.3271	880.2039	880.8984	1082.2399	1117.8592	1229.8248	1381.5883	1382.3043	1458.7355	1465.5836	1468.5562	1488.1501	1820.9076	3031.4935	3038.2628	3090.6646	3097.9112	3151.9959	3153.1865,CC(C)=O,CC(=O)C,1S/C3H6O/c1-3(2)4/h1-2H3,1S/C3H6O/c1-3(2)4/h1-2H3,10.12193,8.49011,4.89615,2.7362,35.53,-0.2431,-0.0087,0.2344,292.4367,0.083382,-193.08834,-193.082969,-193.082024,-193.116476,16.893
dsgdb9nsd_000019.xyz,9,"C	 0.0067988926	 1.4996973638	-0.025670302	-0.478864
C	-0.0274038512	-0.0175205065	-0.148948112	 0.396024
N	 1.1782666695	-0.6332429807	 0.0569172062	-0.504925
O	-1.0372196495	-0.6398064871	-0.4072757187	-0.348482
H	 0.9139028028	 1.9292375546	-0.4610006733	 0.125848
H	-0.8708089634	 1.9112418589	-0.5234517551	 0.152196
H	-0.0282612356	 1.7851727063	 1.0314912515	 0.14354
H	 1.9840513879	-0.1317586134	 0.3867490606	 0.255104
H	 1.1904942069	-1.639195626	 0.1000620928	 0.259558",42.3664	191.772	415.1123	515.9854	550.54	651.1583	837.7532	976.0169	1052.8193	1123.763	1336.6283	1395.3954	1472.3664	1486.2004	1619.1158	1809.9514	3043.7441	3107.7611	3160.5524	3601.175	3736.6144,CC(N)=O,CC(=O)N,"1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)","1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",10.78886,9.27509,5.14977,3.6367,31.83,-0.2436,0.0347,0.2783,267.6148,0.07319,-209.159302,-209.15402,-209.153076,-209.187468,16.561
dsgdb9nsd_000020.xyz,8,"N	 0.0360526966	 1.360778727	-0.1241640253	-0.534786
C	-0.0259113822	-0.0207655962	 0.0020064507	 0.412243
N	 1.2196847948	-0.6233421968	 0.1196322188	-0.534788
O	-1.0682286604	-0.6417459677	 0.0086557294	-0.366992
H	 0.8074943898	 1.8345514839	 0.3214491515	 0.250544
H	-0.8582577528	 1.8037349999	 0.0224376956	 0.261619
H	 1.9992714792	-0.1730305398	-0.3360249618	 0.250543
H	 1.1820432749	-1.6214790103	-0.0210923389	 0.261618",389.2464	448.4343	470.6859	541.7229	581.2373	589.3696	785.8214	950.2875	1047.3104	1182.7426	1410.7026	1628.7851	1629.2567	1829.8049	3572.8928	3577.8181	3689.4545	3689.957,NC(N)=O,NC(=O)N,"1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)","1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",11.1475,10.36388,5.42091,3.4869,28.07,-0.2495,0.0556,0.3051,244.2308,0.063824,-225.221461,-225.217075,-225.216131,-225.247724,15.292
dsgdb9nsd_000021.xyz,14,"C	-0.0321588811	 1.5402159847	 0.0107445588	-0.370438
C	 0.0338174132	 0.0074585217	 0.0018071612	 0.064357
C	 0.7137557194	-0.50856404	-1.2729694853	-0.370398
C	 0.7384899858	-0.5222088643	 1.2575090679	-0.370427
H	 0.9752273599	 1.9741434099	 0.0052836184	 0.109505
H	-0.5619676933	 1.9223232554	-0.8683541813	 0.10781
H	-0.5481723936	 1.9126841393	 0.9020803851	 0.107822
H	-0.9975252478	-0.3731057842	 0.0097729651	 0.071533
H	 1.7507002148	-0.155867844	-1.3326963135	 0.109494
H	 0.7344669137	-1.6032828803	-1.2993969612	 0.107789
H	 0.1936701054	-0.1608558933	-2.1719550787	 0.10782
H	 0.2361199025	-0.1838201713	 2.1700525984	 0.107823
H	 0.7596408325	-1.6171315293	 1.2722610065	 0.107801
H	 1.7763586586	-0.1698531842	 1.3005301884	 0.109509",208.9614	254.2567	256.087	358.1429	362.2204	429.3799	798.6632	920.3835	922.5698	953.0005	973.5277	974.5358	1192.8662	1193.789	1212.4628	1358.8896	1359.3294	1399.1271	1399.5233	1430.3641	1481.77	1487.4723	1487.8113	1507.9085	1508.3561	1514.2177	3000.2679	3020.2432	3020.3946	3027.707	3084.5857	3084.7847	3093.0871	3094.3427	3097.6257	3097.9961,CC(C)C,CC(C)C,"1S/C4H10/c1-4(2)3/h4H,1-3H3","1S/C4H10/c1-4(2)3/h4H,1-3H3",7.75166,7.74847,4.48668,0.0897,45.46,-0.3167,0.0843,0.401,355.0621,0.131146,-158.342346,-158.336603,-158.335658,-158.370016,20.273
dsgdb9nsd_000022.xyz,12,"C	-0.0331587081	 1.5478256631	-0.0043881535	-0.390249
C	-0.0110853438	 0.0185909451	 0.016761166	 0.156168
C	 0.7093838393	-0.5359671127	 1.239784442	-0.364261
O	-1.3321984071	-0.5171255405	 0.0523605653	-0.432342
H	 0.9821569246	 1.9571589997	-0.0318222477	 0.113876
H	-0.5638809986	 1.9208762284	-0.8884586459	 0.102034
H	-0.5408254809	 1.9334094525	 0.8857548884	 0.122598
H	 0.5104212174	-0.3376724089	-0.8881917632	 0.061707
H	 0.2224049199	-0.1878586016	 2.1565024531	 0.120275
H	 0.6824202398	-1.628876384	 1.2330514094	 0.122474
H	 1.7543430111	-0.2124695005	 1.2552418802	 0.109644
H	-1.8181868136	-0.1557743505	-0.695539624	 0.278075",216.2269	260.7829	301.2711	356.8488	411.0276	478.2963	822.5966	924.8043	946.7303	968.9134	1085.7082	1164.7329	1187.5788	1283.2854	1377.5882	1391.3356	1410.6825	1429.8433	1481.6527	1487.4703	1497.3205	1509.8072	2950.3306	3024.5227	3041.138	3090.5241	3107.4242	3115.4267	3121.7413	3817.3516,CC(C)O,CC(C)O,"1S/C3H8O/c1-3(2)4/h3-4H,1-2H3","1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",8.67553,8.00568,4.75542,1.4259,38.58,-0.2612,0.074,0.3351,318.3721,0.107673,-194.267232,-194.261748,-194.260804,-194.294663,19.052
dsgdb9nsd_000023.xyz,6,"C	 0.680980206	 0.	 0.	 0.214931
C	-0.680980206	 0.	 0.	 0.214931
C	-1.8876660283	 0.	 0.	-0.413264
C	 1.8876660283	 0.	 0.	-0.413264
H	-2.9495999954	 0.	 0.	 0.198333
H	 2.9495999954	 0.	 0.	 0.198333",241.7619	241.7619	541.7936	541.7936	603.8539	603.8539	627.9542	627.9542	921.186	2126.8287	2307.4155	3504.5992	3505.9596,C#CC#C,C(#C)C#C,1S/C4H2/c1-3-4-2/h1-2H,1S/C4H2/c1-3-4-2/h1-2H,0.,4.4259726,4.4259726,0.,38.52,-0.2599,-0.0214,0.2386,278.6264,0.037354,-153.459846,-153.455442,-153.454498,-153.482621,15.312
dsgdb9nsd_000024.xyz,5,"C	 0.0151038958	 0.	 1.	 0.279352
C	 1.3823314931	 0.	 1.	 0.250103
C	-1.1886252462	 0.	 1.	-0.437857
H	-2.2517720115	 0.	 1.	 0.234135
N	 2.5429618689	 0.	 1.	-0.325734",245.4077	245.4077	569.6061	569.6061	681.9281	681.9281	907.1114	2183.5257	2381.9084	3498.8083,C#CC#N,C(#C)C#N,1S/C3HN/c1-2-3-4/h1H,1S/C3HN/c1-2-3-4/h1H,0.,4.5793222,4.5793222,3.792,32.66,-0.3102,-0.0543,0.2559,260.1896,0.027259,-169.557758,-169.553764,-169.55282,-169.581024,12.93
dsgdb9nsd_000025.xyz,4,"N	 0.0174573422	-1.1613421749	-0.0041534236	-0.288871
C	 0.0025321236	-0.0034427793	 0.0017993915	 0.28887
C	-0.0161141932	 1.3722098653	 0.0093487294	 0.28887
N	-0.0326430226	 2.5300827589	 0.0160909027	-0.28887",260.6704	575.8668	575.9392	886.3351	2269.0912	2433.6226,N#CC#N,N#CC#N,1S/C2N2/c3-1-2-4,1S/C2N2/c3-1-2-4,0,4.73269,4.73269,0.0023,27.7,-0.3696,-0.0926,0.277,242.9308,0.015951,-185.648533,-185.644825,-185.64388,-185.667652,10.398
dsgdb9nsd_000026.xyz,6,"O	-0.0677611954	-0.0423383835	 0.0028248878	-0.217695
C	-0.0056294518	 1.1638287916	 0.0074386245	 0.042515
C	 1.2298527186	 1.9133999686	 0.0002878123	 0.233835
C	 2.2362532244	 2.5743097025	-0.0052927696	-0.391468
H	-0.9167070054	 1.7946754562	 0.0178135153	 0.108001
H	 3.1342966196	 3.1437026746	-0.0103765604	 0.224812",217.3433	285.6208	633.9564	658.55	720.745	958.2141	1021.5063	1421.7905	1776.8148	2212.9179	2930.7151	3494.1862,O=CC#C,O=CC#C,"1S/C3H2O/c1-2-3-4/h1,3H","1S/C3H2O/c1-2-3-4/h1,3H",68.5171,4.8345,4.51586,2.7824,31.14,-0.2777,-0.0735,0.2042,268.3921,0.037208,-190.624631,-190.620363,-190.619419,-190.650543,13.049
dsgdb9nsd_000027.xyz,5,"O	-0.0405597774	-0.0379914394	 0.0026651264	-0.183634
C	-0.0176887026	 1.1619325108	 0.0074600778	 0.08224
C	 1.2331553409	 1.9338133573	 0.0004337145	 0.226189
N	 2.1985737832	 2.5705509697	-0.0048332038	-0.269811
H	-0.9262753441	 1.7895919616	 0.017648585	 0.145016",230.4293	318.6843	627.8796	923.6056	1012.2069	1414.3037	1801.4941	2339.2712	2981.6569,O=CC#N,O=CC#N,1S/C2HNO/c3-1-2-4/h2H,1S/C2HNO/c3-1-2-4/h2H,67.88408,5.00823,4.66413,2.3112,26.25,-0.3166,-0.11,0.2066,251.0007,0.02654,-206.721858,-206.717875,-206.716931,-206.747625,11.329
dsgdb9nsd_000028.xyz,6,"O	 0.0033712246	-0.0314658631	 0.0015720628	-0.196988
C	-0.0171317373	 1.1708140858	 0.0067644382	 0.085173
C	 1.2655578297	 1.9971940991	-0.0000770322	 0.085173
O	 1.2450706894	 3.1994658927	 0.0068127529	-0.196988
H	-0.9469048284	 1.7767814241	 0.0185266798	 0.111815
H	 2.195344102	 1.3912137414	-0.0100673915	 0.111815",142.9342	323.9482	553.5054	819.4302	1066.3258	1082.3752	1337.8644	1381.2577	1821.4604	1822.7209	2929.5727	2934.7326,O=CC=O,O=CC=O,1S/C2H2O2/c3-1-2-4/h1-2H,1S/C2H2O2/c3-1-2-4/h1-2H,56.25048,4.77441,4.40088,0.002,26.12,-0.2668,-0.1113,0.1555,266.8164,0.036943,-227.798785,-227.79457,-227.793626,-227.825074,12.147
dsgdb9nsd_000029.xyz,10,"C	-0.01787959	 1.4667689295	 0.0101118041	-0.493535
C	 0.0018664364	 0.0107291322	 0.0021110887	 0.060147
C	 0.0181970373	-1.1927286061	-0.0045072299	 0.060149
C	 0.0379517014	-2.6487679252	-0.0125119251	-0.493535
H	 0.8646031176	 1.8758997916	 0.514797188	 0.144462
H	-0.0321762362	 1.8721058086	-1.0079100178	 0.144462
H	-0.9023311457	 1.8518552354	 0.5300395321	 0.144462
H	-0.8347701131	-3.0633900659	 0.5045143637	 0.144462
H	 0.0327642194	-3.0431556444	-1.0349122341	 0.144462
H	 0.932134863	-3.0393164157	 0.4862660603	 0.144462",23.6099	205.5891	205.6143	380.5186	380.5234	727.1927	1041.4215	1041.4271	1066.4905	1066.4953	1174.3916	1413.1345	1419.4859	1479.9692	1479.9872	1480.0447	1480.0626	2380.1199	3023.8424	3023.9722	3082.7099	3082.7203	3083.392	3083.4024	23.6091	205.589	205.6142	380.5201	380.5249	727.1928	1041.4217	1041.4273	1066.4905	1066.4954	1174.3917	1413.1345	1419.486	1479.9693	1479.9873	1480.0448	1480.0627	2380.12	3023.8424	3023.9722	3082.7099	3082.7203	3083.392	3083.4024,CC#CC,CC#CC,1S/C4H6/c1-3-4-2/h1-2H3,1S/C4H6/c1-3-4-2/h1-2H3,80.28766,3.3688,3.3688,0.,42.32,-0.2412,0.0684,0.3096,400.2236,0.083896,-155.908941,-155.90318,-155.902236,-155.937641,17.447
